,index,restaurant,type,name,description
908,908,Subway,Kids' Pak® Meal,Veggie Delite® Kids' Pak® Meal,You no longer have to sacrifice nutrition or flavour when you're short on time. Includes a delicious GoGo squeeZ® Apple with a bottled water to wash it down for a meal that kids will love.
909,909,Subway,Footlong Classic Sandwiches,Steak & Cheese Footlong Sub,"Hot, tender, shaved steak, served on the bread of your choice. It's just bursting with flavour! Toast your bread to add even more great taste!"
910,910,Subway,Footlong Classic Sandwiches,Turkey Breast Footlong Sub,Dive into our turkey breast sandwich made with turkey raised on Canadian farms and topped with your favourite veggies!
911,911,Subway,Footlong Classic Sandwiches,Italian B.M.T.® Footlong Sub,"This all-time Italian classic is filled with Genoa salami, spicy pepperoni, and Black Forest ham. Get it made the way you say with your favourite veggies on your choice of bread."
912,912,Subway,Footlong Classic Sandwiches,Tuna Footlong Sub,"You’ll love every bite of our classic tuna sandwich. 100% wild-caught tuna blended with creamy mayonnaise then topped with your choice of crisp, fresh veggies. 100% delicious."
913,913,Subway,Footlong Classic Sandwiches,Cold Cut Combo Footlong Sub,"Are you a meat-lover? Then you'll love our Cold Cut Combo! One bite into these delicious deli meats, topped with crisp vegetables and served on your choice of bread and you'll be addicted."
914,914,Subway,Footlong Classic Sandwiches,Black Forest Ham Footlong Sub,"Our Black Forest ham,  has never been better. Load it up with all the crunchy veggies you like on your choice of bread. Yum!"
915,915,Subway,Footlong Classic Sandwiches,Veggie Delite® Footlong Sub,"Crispy, crunchy and classically delicious. The Veggie Delite® is proof that a veggie sandwich can be high in flavor. Try a delicious combination of lettuce, tomatoes, green peppers, cucumbers and onions. Customize it with your choice of condiments on the bread of your choice."
916,916,Subway,Footlong Classic Sandwiches,Crispy Chicken Footlong Sub,"Try our new crispy chicken sandwich made with seasoned chicken breast, processed white cheddar cheese, lettuce, tomatoes, red onions, pickles, and smoky honey mustard sauce. Limited time at participating restaurants. Extras/Add-ons addt'l. Plus tax."
917,917,Subway,Footlong Classic Sandwiches,Rotisserie-Style Chicken Footlong Sub,"Try our juicy, Rotisserie-style Chicken, made with seasoned chicken and topped with lettuce, spinach, tomatoes, cucumber, green peppers, and red onions. Your tastebuds will thank you later!"
918,918,Subway,Footlong Classic Sandwiches,Sweet Onion Chicken Teriyaki Footlong Sub,"Our Sweet Onion Chicken Teriyaki is stuffed with teriyaki-glazed chicken strips and fresh veggies, topped with our NEW Sweet Onion Teriyaki sauce."
919,919,Subway,Footlong Classic Sandwiches,Meatball Marinara Footlong Sub,"Zesty meatballs covered with marinara sauce, and served on your choice of bread. Every bite is simply sensational! Get it toasted for even more great taste."
920,920,Subway,Rice Bowls and Wraps,Sweet Onion Chicken Teriyaki Rice Bowl,"Sweet and savoury, all in a convenient bowl! Our Sweet Onion Chicken Teriyaki Signature Rice Bowl is stuffed with teriyaki glazed chicken strips, a selection of fresh veggies and a blend of seasoned brown, red & wild rice, and topped with Sweet Onion sauce. "
921,921,Subway,Rice Bowls and Wraps,Southwest Steak & Avocado Rice Bowl,"Get a taste of Tex-Mex all in a convenient bowl. Our Southwest Steak & Avocado Signature Rice Bowl is made with Canadian seasoned steak, NEW Smashed Avocado, a selection of fresh veggies, a blend of seasoned brown, red & wild rice, topped with an extra kick with the classic Southwest Chipotle sauce and sweet and tangy Banana Peppers. "
922,922,Subway,Rice Bowls and Wraps,Crispy Chicken Bacon & Peppercorn Ranch Rice Bowl,"A crispy addition to a Subway® favourite all in a convenient bowl. The Crispy Chicken Bacon & Peppercorn Ranch Signature Rice Bowl features crispy seasoned chicken breast, Maplewood Smoked Bacon, delicious shredded monterey jack cheese and a blend of seasoned brown, red & wild rice, topped with fresh veggies and the zesty kick of our NEW Peppercorn Ranch dressing. "
923,923,Subway,Rice Bowls and Wraps,Green Goddess Veggie Rice Bowl,"Fresh veggies and great flavour, all in a convenient bowl. The Green Goddess Signature Rice Bowl features a blend of seasoned brown, red & wild rice, paired with your favourite crisp veggies, NEW Smashed Avocado and drizzled in the NEW Green Goddess Dressing which adds a tangy taste with a blend of herbs. "
924,924,Subway,Rice Bowls and Wraps,Sweet Onion Chicken Teriyaki Rice Wrap,"Sweet and savoury, for those on the go! Our Sweet Onion Chicken Teriyaki Signature Rice Wrap is stuffed with teriyaki glazed chicken strips, a selection of fresh veggies and a blend of seasoned brown, red & wild rice, and topped with Sweet Onion sauce. Grilled Wrap option available at participating restaurants."
925,925,Subway,Rice Bowls and Wraps,Southwest Steak & Avocado Rice Wrap,"Get a taste of Tex-Mex for those on the go. Our Southwest Steak & Avocado Signature Rice Wrap is made with Canadian seasoned steak, NEW Smashed Avocado, a selection of fresh veggies, a blend of seasoned brown, red & wild rice, topped with an extra kick with the classic Southwest Chipotle sauce and sweet and tangy Banana Peppers. Grilled Wrap option available at participating restaurants. "
926,926,Subway,Rice Bowls and Wraps,Crispy Chicken Bacon & Peppercorn Ranch Rice Wrap,"A crispy addition to a Subway® favourite for those on the go. The Crispy Chicken Bacon & Peppercorn Ranch Signature Rice Wrap features crispy seasoned chicken breast, Maplewood Smoked Bacon, delicious shredded monterey jack cheese and a blend of seasoned brown, red & wild rice, topped with fresh veggies and the zesty kick of our NEW Peppercorn Ranch dressing. Grilled option available at participating restaurants."
927,927,Subway,Rice Bowls and Wraps,Green Goddess Veggie Rice Wrap,"Fresh veggies and great flavour, all wrapped into one. The Green Goddess Signature Rice Wrap features a blend of seasoned brown, red & wild rice, paired with your favourite crisp veggies, NEW Smashed Avocado and drizzled in the NEW Green Goddess Dressing which adds a tangy taste with a blend of herbs. Grilled option available at participating restaurants. "
928,928,Subway,Breakfast,Egg & Bacon Sidekick,"Our Egg & Bacon Sidekick will leave you wanting seconds. Made with Canadian eggs, tasty bacon, and processed white cheddar toasted on our potato bun made with Canadian Potatoes."
929,929,Subway,Breakfast,Egg & Ham Sidekick,"You’ll love every bite of our Egg & Ham Sidekick. Made with Canadian eggs, ham and processed white cheddar then toasted on our potato bun made with Canadian Potatoes. Simply delicious."
930,930,Subway,Breakfast,Egg & Cheese Sidekick,"Once you try our Egg & Cheese Sidekick, you’ll never look back. Made with Canadian eggs, processed white cheddar and toasted on our potato bun made with Canadian Potatoes. So good."
931,931,Subway,Breakfast,Egg & Bacon Footlong Sub,"Our Egg & Bacon sandwich will leave you wanting seconds. Made with Canadian eggs, tasty Maplewood smoked bacon made from pork raised on Canadian farms  and processed white cheddar."
932,932,Subway,Breakfast,Egg & Bacon 6-Inch Sub,"Our Egg & Bacon sandwich will leave you wanting seconds. Made with Canadian eggs, tasty Maplewood smoked bacon made from pork raised on Canadian farms  and processed white cheddar."
933,933,Subway,Breakfast,Egg & Ham Footlong Sub,"You’ll love every bite of our Egg & Ham sandwich. Made with Canadian eggs, deli-style Black Forest ham made with pork raised on Canadian farms, and processed white cheddar. Simply delicious."
934,934,Subway,Breakfast,Egg & Ham 6-Inch Sub,"You’ll love every bite of our Egg & Ham sandwich. Made with Canadian eggs, deli-style Black Forest ham made with pork raised on Canadian farms, and processed white cheddar. Simply delicious."
935,935,Subway,Breakfast,Egg & Cheese Footlong Sub,"Once you try our Egg & Cheese sandwich, you’ll never look back. Made with Canadian eggs, and processed white cheddar. So good."
936,936,Subway,Breakfast,Egg & Cheese 6-Inch Sub,"Once you try our Egg & Cheese sandwich, you’ll never look back. Made with Canadian eggs, and processed white cheddar. So good."
937,937,Subway,Sides,Six Cookies,
938,938,Subway,Sides,Twelve Cookies,
939,939,Subway,Sides,Sunchips® Harvest Cheddar Multigrain Snacks,
940,940,Subway,Sides,Lay's Classic® Potato Chips,
941,941,Subway,Sides,Lay’s® Original Oven Baked Potato Chips,
942,942,Subway,Sides,Doritos® Nacho Cheese Chips,
943,943,Subway,Sides,Miss Vickie's® Sea Salt & Malt Vinegar,
944,944,Subway,Sides,Miss Vickie's® All Dressed Up,
945,945,Subway,Sides,Chocolate Chip with M&M's® Candies Cookies,
946,946,Subway,Sides,Chocolate Chunk Cookies,
947,947,Subway,Sides,White Chip Macadamia Nut Cookies,
948,948,Subway,Sides,Caramel Brownie Cookies,
949,949,Subway,Beverages,Tropicana® Orange Juice,
950,950,Subway,Beverages,Diet Pepsi®,
951,951,Subway,Beverages,G2® Fruit Punch Sports Drink,
952,952,Subway,Beverages,Brisk® Lemon Iced Tea,
953,953,Subway,Beverages,PURE LEAF Lemon Iced Tea,
954,954,Subway,Beverages,Pepsi®,
955,955,Subway,Beverages,Aquafina® Water,
956,956,Subway,Beverages,PURE LEAF Blackberry Iced Tea,
957,957,Subway,6 Subway® Series,#1 Canuck Classic 6-Inch Sub,"Get a taste of Canada with a twist. Featuring our Maplewood Smoked bacon and Deli-Style ham, made with Canadian farm-raised pork, topped with veggies and covered in twice as much Canadian Cheddar Cheese, then topped with our Smoky Honey Mustard and mayonnaise."
958,958,Subway,6 Subway® Series,#2 Great Canadian Club 6-Inch Sub,"Love the taste of Canada? Join the Club! Enjoy our Great Canadian Club, with Deli-Style turkey and ham, Maplewood Smoked bacon, made from Canadian farm-raised turkey and pork, topped with twice the Canadian cheddar cheese, fresh veggies, and our Smoky Honey Mustard sauce for some added zest, eh?"
959,959,Subway,6 Subway® Series,#3 Turkey Rancher 6-Inch Sub,"Saddle up and head for deliciousness. The Turkey Rancher features Canadian farm-raised turkey and Maplewood Smoked bacon, topped with twice the helping of Canadian cheddar cheese, fresh veggies, and the zesty kick of our Peppercorn Ranch dressing. Giddy up!"
960,960,Subway,6 Subway® Series,#4 Kickin' Chicken 6-Inch Sub,"Ready to spice up your life? Take a bite of the Kickin' Chicken, featuring seasoned chicken breast topped with Creamy Sriracha, veggies including banana peppers, and a double-kick of Habanero Jack cheese."
961,961,Subway,6 Subway® Series,#5 Chicken Rancher 6-Inch Sub,"A fan favourite gets some added zing. The Chicken Rancher features Canadian farm-raised chicken and pork, made with rotisserie-style chicken and Maplewood Smoked Bacon, topped with fresh veggies, twice the shredded Monterrey Jack and cheddar, and the zesty kick of our Peppercorn Ranch dressing. "
962,962,Subway,6 Subway® Series,#6 Teriyaki Crunch 6-Inch Sub,"We added some crunch to this sweet & savoury favourite! The Teriyaki Crunch sandwich comes with teriyaki-glazed chicken strips, fresh veggies, double the processed cheddar cheese, the satisfying crunch of our NEW crispy onions and topped with our NEW Sweet Onion Teriyaki sauce."
963,963,Subway,6 Subway® Series,#7 Green Goddess Chicken 6-Inch Sub,"Want a taste of heaven? Try our Green Goddess Chicken, made with Canadian farm-raised rotisserie-style chicken, topped with fresh veggies including our Smashed Avocado and double the processed cheddar cheese before being drizzled with our House Sandwich sauce and the cool, refreshing blend of herbs in our Green Goddess Dressing."
964,964,Subway,6 Subway® Series,#8 Steak'n Bacon 6-Inch Sub,"There's no mis-steak-ing your new favourite club sandwich. Steak'n Bacon comes with Maplewood Smoked bacon and Canadian seasoned beef, topped with fresh veggies, spicy Chipotle sauce, our Peppercorn Ranch, and a double helping of Habanero Jack cheese for an added kick."
965,965,Subway,6 Subway® Series,#9 Stampede Brisket 6-Inch Sub,"Ready for a brisket worthy of any rodeo? The Stampede Brisket starts with delicious beef brisket tossed in BBQ sauce, adds fresh veggies and a double helping of Canadian cheddar cheese, then finishes off with a crunch from our NEW crispy onions and a drizzle of our Smoky Honey Mustard and Sweet & Smoky BBQ sauce. Yee-haw!  "
966,966,Subway,6 Subway® Series,"#10 Steak ""N' Egg 6-Inch Sub","Time to get crackin’! The Steak ""N"" Egg is made with Canadian Beef and scrambled Canadian egg before being topped with a two-fer of processed cheddar cheese, fresh veggies, and the added kick of our Chipotle sauce. "
967,967,Subway,6 Subway® Series,#11 Green Goddess 6-Inch Sub,"Embrace a refreshing new take on a Subway® staple. Your favourite crisp veggies and Smashed Avocado drizzled in House Sandwich Sauce and our Green Goddess Dressing with a bright and fresh blend of herbs, now covered in twice as much processed cheddar cheese."
968,968,Subway,6 Subway® Series,#12 Mozzarella Bella 6-Inch Sub,"Meet Mozzarella Bella, a twist on classics you'd find back in Tuscany. This deliciously light and tasty sandwich starts with the perfect combination of fresh veggies, adds mozzarella and parmesan, then covers it all in our House Sandwich sauce and a tasty helping of Pesto. Che Bella!

*Fresh Mozzarella Product"
969,969,Subway,6 Subway® Series,#13 Suprimo 6-Inch Sub,"Get ready to MEAT your match. The Suprimo is topped with salami, Deli-Style ham and pepperoni made from Canadian farm-raised pork, NEW capicola, plus veggies, our House Sandwich Sauce, and a doppio dose of processed cheddar cheese. Fantastico!"
970,970,Subway,6 Subway® Series,#14 Little Italy 6-Inch Sub,"Transport your tastebuds to Bel Paese with the Little Italy. Featuring Rotisserie-style chicken, this delicioso sub is topped with veggies, plus mozzarella and parmesan cheese before being drizzled with the zing of Garlic Aioli, our House Sandwich sauce and delicious Pesto, just to remind you of nonna's place.

*Fresh Mozzarella Product"
971,971,Subway,6 Subway® Series,#15 Meatballer 6-Inch Sub,"Get ready to hit the court with Meatballer. The same meatballs that you know and love now come with pepperoni and a cozy blanket of mozzarella and parmesan cheese. A slam dunk for your taste buds!

*Fresh Mozzarella Product"
972,972,Subway,Sidekicks,Crispy Chicken Sidekick,"Try our new crispy chicken sidekick made with seasoned chicken breast, lettuce, pickles, and smoky honey mustard sauce served warm and toasty on our potato bun made with Canadian Potatoes. At participating restaurants. Extras/Add-ons addt'l. Plus tax."
973,973,Subway,Sidekicks,Honey Mustard Ham Sidekick,"Black Forest Ham, processed white cheddar cheese, lettuce, tomato, red onion, pickles and our smokey honey mustard served warm and toasty on our potato bun made with Canadian Potatoes. At participating restaurants. Extras/Add-ons addt'l. Plus tax."
974,974,Subway,Sidekicks,Savoury Turkey Ranch Sidekick,"Oven roasted turkey, processed white cheddar cheese, spinach, tomato and ranch sauce served warm and toasty on our potato bun made with Canadian Potatoes. At participating restaurants. Extras/Add-ons addt'l. Plus tax."
975,975,Subway,Salads,Steak & Cheese Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
976,976,Subway,Salads,Chicken Bacon & Peppercorn Ranch Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with lettuce, red onions, tomatoes, cucumbers and much more!"
977,977,Subway,Salads,Sweet Onion Chicken Teriyaki Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
978,978,Subway,Salads,Turkey Breast Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
979,979,Subway,Salads,Tuna Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
980,980,Subway,Salads,Black Forest Ham Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
981,981,Subway,Salads,Veggie Delite® Salad,"Everything but the bread! Turn any one of your favourite sandwiches into a salad. Add crunch to your meal with chopped lettuce, red onions, tomatoes, cucumbers and much more!"
982,982,Subway,Calories – Contextual Statement,"Adults and youth (ages 13 and older) need an average of 2,000 calories a day, and children (ages 4 to 12) need an average of 1,500 calories a day. However, individual needs vary.",
983,983,Subway,6 Classic Sandwiches,Steak & Cheese 6-Inch Sub,"Hot, tender, shaved steak, served on the bread of your choice. It's just bursting with flavour! Toast your bread to add even more great taste!"
984,984,Subway,6 Classic Sandwiches,Turkey Breast 6-Inch Sub,Dive into our turkey breast sandwich made with turkey raised on Canadian farms and topped with your favourite veggies!
985,985,Subway,6 Classic Sandwiches,Italian B.M.T.® 6-Inch Sub,"This all-time Italian classic is filled with Genoa salami, spicy pepperoni, and Black Forest ham. Get it made the way you say with your favourite veggies on your choice of bread."
986,986,Subway,6 Classic Sandwiches,Tuna 6-Inch Sub,"You’ll love every bite of our classic tuna sandwich. 100% wild-caught tuna blended with creamy mayonnaise then topped with your choice of crisp, fresh veggies. 100% delicious."
987,987,Subway,6 Classic Sandwiches,Cold Cut Combo 6-Inch Sub,"Are you a meat-lover? Then you'll love our Cold Cut Combo! One bite into these delicious deli meats, topped with crisp vegetables and served on your choice of bread and you'll be addicted."
988,988,Subway,6 Classic Sandwiches,Black Forest Ham 6-Inch Sub,"Our Black Forest ham,  has never been better. Load it up with all the crunchy veggies you like on your choice of bread. Yum!"
989,989,Subway,6 Classic Sandwiches,Veggie Delite® 6-Inch Sub,"Crispy, crunchy and classically delicious. The Veggie Delite® is proof that a veggie sandwich can be high in flavor. Try a delicious combination of lettuce, tomatoes, green peppers, cucumbers and onions. Customize it with your choice of condiments on the bread of your choice."
990,990,Subway,6 Classic Sandwiches,Crispy Chicken 6-Inch Sub,"Try our new crispy chicken sandwich made with seasoned chicken breast, processed white cheddar cheese, lettuce, tomatoes, red onions, pickles, and smoky honey mustard sauce. Limited time at participating restaurants. Extras/Add-ons addt'l. Plus tax."
991,991,Subway,6 Classic Sandwiches,Rotisserie-Style Chicken 6-Inch Sub,"Try our juicy, Rotisserie-style Chicken, made with seasoned chicken and topped with lettuce, spinach, tomatoes, cucumber, green peppers, and red onions. Your tastebuds will thank you later!"
992,992,Subway,6 Classic Sandwiches,Sweet Onion Chicken Teriyaki 6-Inch Sub,"Our Sweet Onion Chicken Teriyaki is stuffed with teriyaki-glazed chicken strips and fresh veggies, topped with our NEW Sweet Onion Teriyaki sauce."
993,993,Subway,6 Classic Sandwiches,Meatball Marinara 6-Inch Sub,"Zesty meatballs covered with marinara sauce, and served on your choice of bread. Every bite is simply sensational! Get it toasted for even more great taste."
994,994,Goodfellas Wood Oven Pizza,Salads,Caesar Salad,"Romaine lettuce, Parmesan, captain's oven-roasted croutons, and Caesar dressing."
995,995,Goodfellas Wood Oven Pizza,Salads,Tossed Green Salad,"Garden fresh mixed greens, grape tomatoes, red onions, carrots, corn, and balsamic vinaigrette."
996,996,Goodfellas Wood Oven Pizza,Salads,Caprese Salad,"Bocconcini, grape tomatoes, red onions, capers, basil, extra virgin olive oil, and balsamic reduction."
997,997,Goodfellas Wood Oven Pizza,Salads,Spinach Salad,"Fresh baby spinach, arugula, feta, walnuts, grape tomatoes, fresh strawberries, and strawberry vinaigrette."
998,998,Goodfellas Wood Oven Pizza,Create your Own Pizza,Create your Own Pizza,"Come with a base sauce, mozzarella, fior di latte, and grana padano."
999,999,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Margherita Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, grape tomato, basil, oregano, olive oil."
1000,1000,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Truffle Mushroom Pizza,"Alfredo sauce, mozzarella, fior di latte, grana padano, oyster mushroom, truffle oil, arugula, and balsamic."
1001,1001,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Vegetariana Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, mushroom, red onion, grape tomato, green peppers, olives."
1002,1002,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Cheese Pizza ,"Tomato sauce, mozzarella, fior di latte, grana padano."
1003,1003,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Caprese Pizza,"Pesto sauce, mozzarella, fior di latte, grana padano, capers, grape tomato, red onion, basil."
1004,1004,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Chef’s Special Pizza,"Alfredo sauce, mozzarella, roasted mushrooms in truffle oil glaze, arugula splash, pesto drizzle, pine nuts, sundried tomatoes, and shaved Parmesan."
1005,1005,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Cheese Lovers Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, feta, gorgonzola."
1006,1006,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Mediterranean Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, feta, grape tomato, olive, green pepper, corn, oregano, basil."
1007,1007,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Vegan Pepperoni Pizza,"Tomato sauce, vegan cheese, plant-based vegan pepperoni (can substitute with mozzarella, fior di latte, grana padano)."
1008,1008,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Spinaci Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, spinach, red onion, grape tomato, olive, feta."
1009,1009,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Alfredo Potato Pizza,"Alfredo sauce, mozzarella, fior di latte, grana padano, baked potato, goat cheese, roasted red pepper, caramelized onion, and Italian oil."
1010,1010,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Mussarella Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, sliced tomato, oregano."
1011,1011,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Sailor’s Sprouts Pizza,"Italian oil, mozzarella, fior di latte, grana padano, brussels sprouts, gorgonzola, dates, walnuts, honey."
1012,1012,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Eggplant & Zucchini Pizza,"Tomato sauce, mozzarella cheese, eggplant, zucchini, capers, pine nut, balsamic, oregano, feta."
1013,1013,Goodfellas Wood Oven Pizza,Vegetarian Pizzas,Marinara Pizza,"Tomato sauce, garlic, basil, oregano."
1014,1014,Goodfellas Wood Oven Pizza,Appetizers,Captain’s Cheese Garlic ,"Herb-infused butter, garlic, grana padao, and mozzarella- served with garlic butter and marinara."
1015,1015,Goodfellas Wood Oven Pizza,Appetizers,Meatballs,"Meatballs with beef, pork, grana padano, basil, and focaccia, slow-cooked in our house-made tomato sauce."
1016,1016,Goodfellas Wood Oven Pizza,Appetizers,Focaccia Bread ,"Olive oil, garlic, oregano, and rosemary served with olive oil and balsamic, marinara sauce."
1017,1017,Goodfellas Wood Oven Pizza,Appetizers,Bruschetta ,"Garden fresh tomatoes, garlic, red onion, capers, fresh basil, olive oil, balsamic vinegar, and service with house-baked french bread."
1018,1018,Goodfellas Wood Oven Pizza,Appetizers,Calzone Verdura (Vege) ,"Folded pizza with fresh fior di latte, mozzarella, roasted mushroom, roasted eggplant, and zucchini, roasted red peppers topped with san marzano tomato – served with a side of marinara."
1019,1019,Goodfellas Wood Oven Pizza,Appetizers,Calzone Classico ,"Folded pizza with fresh fior di latte, mozzarella, mushroom, spicy capicola, and ham topped with san marzano tomato – served with a side of marinara."
1020,1020,Goodfellas Wood Oven Pizza,Appetizers,Olive Mixte,"Oven-warmed mixed Mediterranean olives, dressed with extra virgin olive oil."
1021,1021,Goodfellas Wood Oven Pizza,Appetizers,Antipasto ,"Assorted board of Italian cured meat cuts, served with cheese, pickled vegetables, and dried fruit, served with bread."
1022,1022,Goodfellas Wood Oven Pizza,Appetizers,Calzone Pescatore (Seafood),"Folded pizza with fresh fior di latte, mozzarella, scallops, smoked salmon, baby shrimp, capers, garlic oil, sliced tomato, and basil topped with san marzano tomato – served with a side of marinara."
1023,1023,Goodfellas Wood Oven Pizza,Desserts,Chocolate Pizza (Small),"Chocolate topped with fresh strawberries, and icing sugar."
1024,1024,Goodfellas Wood Oven Pizza,Desserts,Chocolate Dream ,Triple chocolate pie.
1025,1025,Goodfellas Wood Oven Pizza,Desserts,Tiramisu,An Italian classic with cocoa powder.
1026,1026,Goodfellas Wood Oven Pizza,Desserts,Sweet Sensation Nutella Calzone ,"Chocolate explosion, sprinkled icing sugar, whipped cream."
1027,1027,Goodfellas Wood Oven Pizza,Meat Pizzas,Captain’s Favourite Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, pepperoni, green pepper, red onion, mushroom."
1028,1028,Goodfellas Wood Oven Pizza,Meat Pizzas,Meat Lovers Pizza,"Tomato sauce, mozzarella, fior DI latte, grana padano, pepperoni, capicola, Italian sausage, salami."
1029,1029,Goodfellas Wood Oven Pizza,Meat Pizzas,Pepperoni Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, pepperoni."
1030,1030,Goodfellas Wood Oven Pizza,Meat Pizzas,Hawaiian Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, ham, pineapple."
1031,1031,Goodfellas Wood Oven Pizza,Meat Pizzas,Prosciutto Arugula Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, arugula, parma prosciutto, grape tomato."
1032,1032,Goodfellas Wood Oven Pizza,Meat Pizzas,Cheese Steak Pizza,"Alfredo sauce, mozzarella, fior di latte, grana padano, shaved steak, gorgonzola, roasted mushroom, caramelized onion, roasted red pepper."
1033,1033,Goodfellas Wood Oven Pizza,Meat Pizzas,Capricciosa Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, ham, artichoke, mushroom, olives, oregano, basil."
1034,1034,Goodfellas Wood Oven Pizza,Meat Pizzas,Chicken Pesto Pizza,"Pesto sauce, mozzarella, fior di latte, grana padano, chicken, red onion, artichokes, mushroom."
1035,1035,Goodfellas Wood Oven Pizza,Meat Pizzas,the Works Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, salami, capicola, mushroom, red onion, green pepper, olives, and oregano."
1036,1036,Goodfellas Wood Oven Pizza,Meat Pizzas,Pancetta Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, pancetta, red onions, garlic, chili flakes."
1037,1037,Goodfellas Wood Oven Pizza,Meat Pizzas,Superb Soprasetta (New Addition) Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, spicy soprasetta, basil, fresh green chili, finished off with honey drizzle."
1038,1038,Goodfellas Wood Oven Pizza,Meat Pizzas,Oceanside Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, prawn, scallop, capers, red onion, grape tomato, garlic, and arugula."
1039,1039,Goodfellas Wood Oven Pizza,Meat Pizzas,Tuna (Atum) Pizza,"Tomato sauce, mozzarella, fior di latte, grana padano, tuna, capers, red onions, kalamata olives."
1040,1040,Goodfellas Wood Oven Pizza,Meat Pizzas,Smoked Salmon Pizza,"Alfredo sauce, mozzarella, fior di latte, grana padano, capers, red onion, smoked salmon, dill."
1041,1041,Goodfellas Wood Oven Pizza,Meat Pizzas,Napoletana Pizza,"Tomato sauce, fior di latte, grana padano, sea salt marinated anchovy, capers, oregano, garlic."
1042,1042,Goodfellas Wood Oven Pizza,Meat Pizzas,Pizza Bianca Classico,"Alfredo sauce, grana padano, mozzarella, fior di latte, potato, pancetta, brussel sprouts."
1043,1043,Goodfellas Wood Oven Pizza,Dipping Sauces,Garlic Sauce,
1044,1044,Goodfellas Wood Oven Pizza,Dipping Sauces,Hot Sauce,
1045,1045,Goodfellas Wood Oven Pizza,Dipping Sauces,Marinara Sauce,
1046,1046,Goodfellas Wood Oven Pizza,Beverages,Soda,
1047,1047,Goodfellas Wood Oven Pizza,Beverages,Large (2 lts),
1048,1048,Goodfellas Wood Oven Pizza,Beverages,San Pelegrino ,
1049,1049,Goodfellas Wood Oven Pizza,Beverages,Juice,
1050,1050,Goodfellas Wood Oven Pizza,Pizzas Around the World,Frango Catupiry ,"Tomato sauce, mozzarella, chicken, Brazilian speciality cream cheese."
1051,1051,Goodfellas Wood Oven Pizza,Pizzas Around the World,Pizza Portuguese,"Tomato sauce, mozzarella, ham, red onion, palm hearts, green olive, boiled egg."
1052,1052,Goodfellas Wood Oven Pizza,Pizzas Around the World,Calabrese ,"Tomato sauce, mozzarella, calabrese, red onion, kalamata olive."
1053,1053,Goodfellas Wood Oven Pizza,Pizzas Around the World,Carne Seca (Salted Beef) ,"Tomato sauce, mozzarella, carne seca, red onion, grape tomato, kalamata olive."
1054,1054,Goodfellas Wood Oven Pizza,Pizzas Around the World,Fiesty Indian ,"Tikka sauce, mozzarella, marinated Indian chicken tikka, green peppers, fresh green chili, red onion, green onion."
1055,1055,Goodfellas Wood Oven Pizza,Pizzas Around the World,Arabica ,"Tomato sauce, mozzarella, beef salami, fresh green chili, red onion, grape tomato, kalamata olives, and finished green onion."
